date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:21	35/35	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20Jul%202024%2012:51:38%20GMT	https://houss.co.za/robots.txt		(from )
09:20:21	190693/190693	---M--	200	added ('OK')	text/html	date:Thu,%2003%20Jul%202025%2007:20:20%20GMT	https://houss.co.za/	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/index.html	(from )
09:20:21	3092/3092	---M--	200	added ('OK')	text/css	date:Tue,%2013%20May%202025%2014:02:45%20GMT	https://houss.co.za/wp-content/plugins/download-manager/assets/wpdm-iconfont/css/wpdm-icons.css?ver=faae8a2a8cdfbff34352644bf0ef6b82	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/download-manager/assets/wpdm-iconfont/css/wpdm-iconsca57.css	(from https://houss.co.za/)
09:20:22	58969/58969	---M--	200	added ('OK')	text/css	date:Tue,%2013%20May%202025%2014:02:45%20GMT	https://houss.co.za/wp-content/plugins/download-manager/assets/css/front.min.css?ver=faae8a2a8cdfbff34352644bf0ef6b82	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/download-manager/assets/css/front.minca57.css	(from https://houss.co.za/)
09:20:22	41341/41341	---M--	200	added ('OK')	text/css	date:Mon,%2029%20May%202023%2010:11:32%20GMT	https://houss.co.za/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=3.0.16	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/essential-grid/public/assets/css/settings952b.css	(from https://houss.co.za/)
09:20:22	12663/12663	---M--	200	added ('OK')	text/css	date:Mon,%2029%20May%202023%2010:11:32%20GMT	https://houss.co.za/wp-content/plugins/essential-grid/public/assets/font/fontello/css/fontello.css?ver=3.0.16	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/essential-grid/public/assets/font/fontello/css/fontello952b.css	(from https://houss.co.za/)
09:20:23	236/236	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Aug%202024%2013:30:31%20GMT	https://houss.co.za/wp-content/plugins/nextgen-download-gallery/static/css/style.css?ver=1.6.2	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/nextgen-download-gallery/static/css/style1f22.css	(from https://houss.co.za/)
09:20:23	5501/5501	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2014:23:31%20GMT	https://houss.co.za/wp-content/themes/hello-elementor/style.min.css?ver=3.1.0	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/themes/hello-elementor/style.min324d.css	(from https://houss.co.za/)
09:20:23	5146/5146	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2014:23:31%20GMT	https://houss.co.za/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.0	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/themes/hello-elementor/theme.min324d.css	(from https://houss.co.za/)
09:20:23	7212/7212	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2014:23:31%20GMT	https://houss.co.za/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.0	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/themes/hello-elementor/header-footer.min324d.css	(from https://houss.co.za/)
09:20:23	53269/53269	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:33%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/frontend.min7871.css	(from https://houss.co.za/)
09:20:24	254/254	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/widget-image.min7871.css	(from https://houss.co.za/)
09:20:24	26891/26891	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:18:48%20GMT	https://houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min7871.css	(from https://houss.co.za/)
09:20:24	4827/4827	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:18:48%20GMT	https://houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-search-form.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-search-form.min7871.css	(from https://houss.co.za/)
09:20:24	162/162	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:18:48%20GMT	https://houss.co.za/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min7871.css	(from https://houss.co.za/)
09:20:24	639/639	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:18:48%20GMT	https://houss.co.za/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min7871.css	(from https://houss.co.za/)
09:20:25	198/198	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min7871.css	(from https://houss.co.za/)
09:20:25	5150/5150	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/widget-social-icons.min7871.css	(from https://houss.co.za/)
09:20:25	7025/7025	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:33%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min7871.css	(from https://houss.co.za/)
09:20:25	600/600	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/widget-heading.min7871.css	(from https://houss.co.za/)
09:20:25	704/704	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/widget-text-editor.min7871.css	(from https://houss.co.za/)
09:20:25	42346/42346	---MC-	200	added ('OK')	application/rss+xml	etag:%229ec61f9a58b0f00782b82c74b9a4c0d7%22	https://houss.co.za/feed/	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/feed/index.html	(from https://houss.co.za/)
09:20:26	667/667	---MC-	200	added ('OK')	application/rss+xml	etag:%229ec61f9a58b0f00782b82c74b9a4c0d7%22	https://houss.co.za/comments/feed/	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/comments/feed/index.html	(from https://houss.co.za/)
09:20:26	1990/1990	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Jul%202025%2013:40:15%20GMT	https://houss.co.za/wp-content/uploads/elementor/css/post-6.css?ver=1751377215	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/uploads/elementor/css/post-68194.css	(from https://houss.co.za/)
09:20:26	4298/4298	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/widget-divider.min7871.css	(from https://houss.co.za/)
09:20:26	10071/10071	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/widget-icon-box.min7871.css	(from https://houss.co.za/)
09:20:26	130/130	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min7871.css	(from https://houss.co.za/)
09:20:27	16471/16471	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://houss.co.za/)
09:20:27	5486/5486	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:33%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min7871.css	(from https://houss.co.za/)
09:20:27	2386/2386	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:18:48%20GMT	https://houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-slides.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-slides.min7871.css	(from https://houss.co.za/)
09:20:27	1833/1833	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/widget-spacer.min7871.css	(from https://houss.co.za/)
09:20:27	1283/1283	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:15:34%20GMT	https://houss.co.za/wp-content/plugins/elementor/assets/css/widget-video.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor/assets/css/widget-video.min7871.css	(from https://houss.co.za/)
09:20:28	20035/20035	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:18:48%20GMT	https://houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-testimonial-carousel.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-testimonial-carousel.min7871.css	(from https://houss.co.za/)
09:20:28	3847/3847	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Mar%202025%2011:18:48%20GMT	https://houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-carousel-module-base.min.css?ver=3.27.7	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/elementor-pro/assets/css/widget-carousel-module-base.min7871.css	(from https://houss.co.za/)
09:20:28	19832/19832	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Jul%202025%2009:45:55%20GMT	https://houss.co.za/wp-content/uploads/elementor/css/post-17.css?ver=1751449555	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/uploads/elementor/css/post-1771e4.css	(from https://houss.co.za/)
09:20:28	19889/19889	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Jul%202025%2010:26:57%20GMT	https://houss.co.za/wp-content/uploads/elementor/css/post-8.css?ver=1751452017	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/uploads/elementor/css/post-86b3d.css	(from https://houss.co.za/)
09:20:29	11715/11715	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Jul%202025%2013:40:25%20GMT	https://houss.co.za/wp-content/uploads/elementor/css/post-111.css?ver=1751377225	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/uploads/elementor/css/post-111c0b9.css	(from https://houss.co.za/)
09:20:29	9481/9481	---M--	200	added ('OK')	text/css	date:Tue,%2013%20May%202025%2014:02:35%20GMT	https://houss.co.za/wp-content/plugins/aurora-heatmap/style.css?ver=1.7.1	C:/Users/tloul/OneDrive/Desktop/trade/house/houss.co.za/wp-content/plugins/aurora-heatmap/style4735.css	(from https://houss.co.za/)
